snapshot,PV Power,Wind Power,Grid Power,EV Load,Battery SOC,Battery Charger
2024-01-01 00:00:00,-0.0,-0.0,145.20526315789476,303.1,100.0,-157.89473684210526
2024-01-01 01:00:00,-0.0,-0.0,333.80526315789473,333.7,100.0,0.10526315789473087
2024-01-01 02:00:00,-0.0,-0.0,391.30526315789473,391.2,100.0,0.10526315789473087
2024-01-01 03:00:00,-0.0,-0.0,417.10526315789474,417.0,100.0,0.10526315789473087
2024-01-01 04:00:00,-0.0,-0.0,617.6052631578947,617.5,100.0,0.10526315789473087
2024-01-01 05:00:00,-0.0,-0.0,439.70526315789476,439.6,100.0,0.10526315789473087
2024-01-01 06:00:00,-0.0,-0.0,468.30526315789473,468.2,100.0,0.10526315789473087
2024-01-01 07:00:00,0.0506418288892,-0.0,175.35462132900554,175.3,100.0,0.10526315789473087
2024-01-01 08:00:00,0.96801181297955,-0.0,131.6372513449152,132.5,100.0,0.10526315789473087
2024-01-01 09:00:00,20.4780778288841,-0.0,88.52718532901063,108.9,100.0,0.10526315789473087
2024-01-01 10:00:00,116.9207505385081,-0.0,28.384512619386626,145.2,100.0,0.10526315789473087
2024-01-01 11:00:00,212.90525754292804,-0.0,38.90000561496669,251.7,100.0,0.10526315789473087
2024-01-01 12:00:00,278.33893458048504,-0.0,51.566328577409706,329.8,100.0,0.10526315789473087
2024-01-01 13:00:00,269.18576388888886,-0.0,109.61949926900587,378.7,100.0,0.10526315789473087
2024-01-01 14:00:00,171.6701388888889,-0.0,275.3351242690058,446.9,100.0,0.10526315789473087
2024-01-01 15:00:00,46.53124999999995,-0.0,534.9740131578947,581.4,100.0,0.10526315789473087
2024-01-01 16:00:00,7.96701388888885,-0.0,499.83824926900587,507.7,100.0,0.10526315789473087
2024-01-01 17:00:00,0.9600694444444,-0.0,356.94519371345035,357.8,100.0,0.10526315789473087
2024-01-01 18:00:00,-0.0,-0.0,198.70526315789473,198.6,100.0,0.10526315789473087
2024-01-01 19:00:00,-0.0,-0.0,92.30526315789473,92.2,100.0,0.10526315789473087
2024-01-01 20:00:00,-0.0,-0.0,94.30526315789473,94.2,100.0,0.10526315789473087
2024-01-01 21:00:00,-0.0,-0.0,425.5052631578947,425.4,100.0,0.10526315789473087
2024-01-01 22:00:00,-0.0,-0.0,818.3052631578947,818.2,100.0,0.10526315789473087
2024-01-01 23:00:00,-0.0,-0.0,265.10526315789474,265.0,100.0,0.10526315789473087
2024-01-02 00:00:00,-0.0,2.266666666666656,865.838596491228,868.0,100.0,0.10526315789473087
2024-01-02 01:00:00,-0.0,3.933333333333324,573.5719298245614,577.4,100.0,0.10526315789473087
2024-01-02 02:00:00,-0.0,2.9333333333333282,370.8719298245614,373.7,100.0,0.10526315789473087
2024-01-02 03:00:00,-0.0,0.46666666666665596,199.73859649122807,200.1,100.0,0.10526315789473087
2024-01-02 04:00:00,-0.0,-0.0,102.20526315789472,102.1,100.0,0.10526315789473087
2024-01-02 05:00:00,-0.0,1.799999999999988,231.20526315789476,232.9,100.0,0.10526315789473087
2024-01-02 06:00:00,-0.0,-0.0,80.70526315789472,80.6,100.0,0.10526315789473087
2024-01-02 07:00:00,0.0892066810694,-0.0,210.71605647682532,210.7,100.0,0.10526315789473087
2024-01-02 08:00:00,2.60436453494345,-0.0,119.00089862295127,121.5,100.0,0.10526315789473087
2024-01-02 09:00:00,26.25855146182905,5.133333333333324,62.313378362732344,93.6,100.0,0.10526315789473087
2024-01-02 10:00:00,126.7276261912452,6.0,5.377636966649547,138.0,100.0,0.10526315789473087
2024-01-02 11:00:00,284.25303088294135,5.199999999999996,63.25223227495343,352.6,100.0,0.10526315789473087
2024-01-02 12:00:00,310.90861511230474,2.799999999999996,174.09664804558997,487.7,100.0,0.10526315789473087
2024-01-02 13:00:00,160.41666666666666,0.133333333333332,131.85526315789477,292.3,100.0,0.10526315789473087
2024-01-02 14:00:00,71.54513888888884,-0.0,81.0601242690059,152.5,100.0,0.10526315789473087
2024-01-02 15:00:00,27.41666666666665,-0.0,481.9885964912281,509.3,100.0,0.10526315789473087
2024-01-02 16:00:00,15.4878472222222,-0.0,376.21741593567253,391.6,100.0,0.10526315789473087
2024-01-02 17:00:00,0.25,-0.0,245.25526315789475,245.4,100.0,0.10526315789473087
2024-01-02 18:00:00,-0.0,-0.0,128.20526315789473,128.1,100.0,0.10526315789473087
2024-01-02 19:00:00,-0.0,-0.0,108.00526315789473,107.9,100.0,0.10526315789473087
2024-01-02 20:00:00,-0.0,-0.0,286.60526315789474,286.5,100.0,0.10526315789473087
2024-01-02 21:00:00,-0.0,-0.0,626.6052631578947,626.5,100.0,0.10526315789473087
2024-01-02 22:00:00,-0.0,-0.0,869.2052631578947,869.1,100.0,0.10526315789473087
2024-01-02 23:00:00,-0.0,-0.0,587.7052631578947,587.6,100.0,0.10526315789473087
2024-01-03 00:00:00,-0.0,-0.0,976.1052631578947,976.0,100.0,0.10526315789473087
2024-01-03 01:00:00,-0.0,-0.0,485.60526315789474,485.5,100.0,0.10526315789473087
2024-01-03 02:00:00,-0.0,-0.0,425.5052631578947,425.4,100.0,0.10526315789473087
2024-01-03 03:00:00,-0.0,-0.0,336.5052631578947,336.4,100.0,0.10526315789473087
2024-01-03 04:00:00,-0.0,-0.0,177.10526315789474,177.0,100.0,0.10526315789473087
