snapshot,PV Power,Wind Power,Grid Power,Load,Battery SOC,Battery Charger
2022-02-24 00:00:00,-0.0,7.416666666666666,42.583333333333336,150,155.0,-100.0
2022-02-24 01:00:00,-0.0,3.833333333333328,78.43508771929825,140,100.0,-57.73157894736842
2022-02-24 02:00:00,-0.0,4.95486111111111,125.15040204678363,130,100.0,0.10526315789473087
2022-02-24 03:00:00,-0.0,4.368055555555554,115.73720760233917,120,100.0,0.10526315789473087
2022-02-24 04:00:00,-0.0,2.3703703703703662,117.73489278752436,120,100.0,0.10526315789473087
2022-02-24 05:00:00,-0.0,4.215277777777776,125.88998538011697,130,100.0,0.10526315789473087
2022-02-24 06:00:00,-0.0,3.3888888888888844,176.71637426900585,180,100.0,0.10526315789473087
2022-02-24 07:00:00,1.39828492369915,2.685185185185186,246.0217930490104,250,100.0,0.10526315789473087
2022-02-24 08:00:00,44.2325758685668,2.694444444444438,273.17824284488347,320,100.0,0.10526315789473087
2022-02-24 09:00:00,182.85671048694186,2.282407407407406,194.96614526354549,380,100.0,0.10526315789473087
2022-02-24 10:00:00,280.2326838175456,3.944444444444442,135.9281348959047,420,100.0,0.10526315789473087
2022-02-24 11:00:00,349.25698969099255,5.361111111111107,95.4871623557911,450,100.0,0.10526315789473087
2022-02-24 12:00:00,348.1555909050835,6.256944444444444,115.69272780836678,470,100.0,0.10526315789473087
2022-02-24 13:00:00,330.71701388888886,5.0625,124.32574926900588,460,100.0,0.10526315789473087
2022-02-24 14:00:00,358.09548611111114,1.787037037037034,80.22274000974659,440,100.0,0.10526315789473087
2022-02-24 15:00:00,297.3090277777777,5.7,117.09623538011704,420,100.0,0.10526315789473087
2022-02-24 16:00:00,209.90277777777774,6.6,183.60248538011697,400,100.0,0.10526315789473087
2022-02-24 17:00:00,61.2725694444444,7.624999999999998,311.20769371345034,380,100.0,0.10526315789473087
2022-02-24 18:00:00,0.21354166666665,7.5,342.3917214912281,350,100.0,0.10526315789473087
2022-02-24 19:00:00,-0.0,6.474999999999996,293.6302631578947,300,100.0,0.10526315789473087
2022-02-24 20:00:00,-0.0,5.149999999999999,254.95526315789473,260,100.0,0.10526315789473087
2022-02-24 21:00:00,-0.0,5.899999999999998,214.20526315789473,220,100.0,0.10526315789473087
2022-02-24 22:00:00,-0.0,6.399999999999996,173.70526315789473,180,100.0,0.10526315789473087
2022-02-24 23:00:00,-0.0,3.166666666666662,156.93859649122808,160,100.0,0.10526315789473087
