snapshot,PV Power,Wind Power,Load,Renewable Power,Excess Renewable,Battery SOC
2022-02-24 00:00:00,-0.0,29.666666666666664,75.0,29.666666666666664,0.0,206.9333333333333
2022-02-24 01:00:00,-0.0,15.333333333333313,70.0,15.333333333333313,0.0,154.79306666666668
2022-02-24 02:00:00,-0.0,19.81944444444444,65.0,19.81944444444444,0.0,111.71674582222224
2022-02-24 03:00:00,-0.0,17.472222222222214,60.0,17.472222222222214,0.0,100.0
2022-02-24 04:00:00,-0.0,9.481481481481463,60.0,9.481481481481463,0.0,100.0
2022-02-24 05:00:00,-0.0,16.861111111111104,65.0,16.861111111111104,0.0,100.0
2022-02-24 06:00:00,-0.0,13.555555555555538,90.0,13.555555555555538,0.0,100.0
2022-02-24 07:00:00,1.39828492369915,10.740740740740744,125.0,12.139025664439894,0.0,100.0
2022-02-24 08:00:00,44.2325758685668,10.777777777777752,160.0,55.01035364634455,0.0,100.0
2022-02-24 09:00:00,182.85671048694184,9.129629629629624,190.0,191.98634011657145,1.986340116571455,101.78702311074292
2022-02-24 10:00:00,280.2326838175456,15.777777777777768,210.0,296.01046159532336,86.01046159532336,183.3951746031894
2022-02-24 11:00:00,325.0,-0.0,225.0,325.0,100.0,278.21177942858617
2022-02-24 12:00:00,335.0,-0.0,235.0,335.0,100.0,372.9335676491576
2022-02-24 13:00:00,330.0,-0.0,230.0,330.0,100.0,467.5606340815084
2022-02-24 14:00:00,254.6388700553401,-0.0,220.0,254.6388700553401,34.63887005534011,500.0
2022-02-24 15:00:00,187.7263157894737,22.8,210.0,210.5263157894737,0.5263157894736992,500.0
2022-02-24 16:00:00,174.1263157894737,26.4,200.0,200.5263157894737,0.5263157894736992,500.0
2022-02-24 17:00:00,61.2725694444444,30.499999999999996,190.0,91.7725694444444,0.0,406.1839409722222
2022-02-24 18:00:00,0.21354166666665,30.0,175.0,30.21354166666665,0.0,310.77775703125
2022-02-24 19:00:00,-0.0,25.899999999999984,150.0,25.899999999999984,0.0,215.4669792742188
2022-02-24 20:00:00,-0.0,20.599999999999994,130.0,20.599999999999994,0.0,120.25151229494456
2022-02-24 21:00:00,-0.0,23.59999999999999,110.0,23.59999999999999,0.0,100.0
2022-02-24 22:00:00,-0.0,25.599999999999984,90.0,25.599999999999984,0.0,100.0
2022-02-24 23:00:00,-0.0,12.666666666666648,80.0,12.666666666666648,0.0,100.0
2022-02-25 00:00:00,-0.0,2.399999999999976,75.0,2.399999999999976,0.0,100.0
2022-02-25 01:00:00,-0.0,-0.0,70.0,-0.0,0.0,100.0
2022-02-25 02:00:00,-0.0,-0.0,65.0,-0.0,0.0,100.0
2022-02-25 03:00:00,-0.0,-0.0,60.0,-0.0,0.0,100.0
2022-02-25 04:00:00,-0.0,-0.0,60.0,-0.0,0.0,100.0
2022-02-25 05:00:00,-0.0,-0.0,65.0,-0.0,0.0,100.0
2022-02-25 06:00:00,0.0034467969089746,-0.0,90.0,0.0034467969089746,0.0,100.0
2022-02-25 07:00:00,0.78516626381315,-0.0,125.0,0.78516626381315,0.0,100.0
2022-02-25 08:00:00,50.47998235871395,-0.0,160.0,50.47998235871395,0.0,100.0
2022-02-25 09:00:00,161.4656819237603,10.266666666666648,190.0,171.73234859042694,0.0,100.0
2022-02-25 10:00:00,301.6146649254693,6.0,210.0,307.6146649254693,97.6146649254693,192.63393167919585
2022-02-25 11:00:00,279.58833323584656,2.933333333333328,225.0,282.5216665691799,57.5216665691799,247.08688098823757
2022-02-25 12:00:00,335.0,-0.0,235.0,335.0,100.0,341.8397941072493
2022-02-25 13:00:00,330.0,-0.0,230.0,330.0,100.0,436.497954313142
2022-02-25 14:00:00,287.3037301486012,-0.0,220.0,287.3037301486012,67.30373014860118,500.0
2022-02-25 15:00:00,210.52631578947367,-0.0,210.0,210.52631578947367,0.5263157894736707,500.0
2022-02-25 16:00:00,187.859649122807,12.666666666666648,200.0,200.52631578947367,0.5263157894736707,500.0
2022-02-25 17:00:00,43.2004939495689,11.866666666666656,190.0,55.067160616235554,0.0,404.5
2022-02-25 18:00:00,0.1949456727339,2.4,175.0,2.5949456727338998,0.0,309.0955
2022-02-25 19:00:00,-0.0,1.599999999999984,150.0,1.599999999999984,0.0,213.7864045
2022-02-25 20:00:00,-0.0,6.266666666666664,130.0,6.266666666666664,0.0,118.5726180955
2022-02-25 21:00:00,-0.0,1.733333333333328,110.0,1.733333333333328,0.0,100.0
2022-02-25 22:00:00,-0.0,8.133333333333336,90.0,8.133333333333336,0.0,100.0
2022-02-25 23:00:00,-0.0,6.799999999999992,80.0,6.799999999999992,0.0,100.0
2022-02-26 00:00:00,-0.0,8.933333333333328,75.0,8.933333333333328,0.0,100.0
2022-02-26 01:00:00,-0.0,1.733333333333328,70.0,1.733333333333328,0.0,100.0
2022-02-26 02:00:00,-0.0,6.666666666666648,65.0,6.666666666666648,0.0,100.0
2022-02-26 03:00:00,-0.0,9.466666666666656,60.0,9.466666666666656,0.0,100.0
2022-02-26 04:00:00,-0.0,6.399999999999984,60.0,6.399999999999984,0.0,100.0
2022-02-26 05:00:00,-0.0,6.399999999999984,65.0,6.399999999999984,0.0,100.0
2022-02-26 06:00:00,0.0115749069179097,10.533333333333312,90.0,10.544908240251221,0.0,100.0
2022-02-26 07:00:00,2.1702976160061502,8.133333333333336,125.0,10.303630949339487,0.0,100.0
2022-02-26 08:00:00,54.66940022177165,16.09999999999999,160.0,70.76940022177165,0.0,100.0
2022-02-26 09:00:00,80.44663396146561,15.066666666666649,190.0,95.51330062813226,0.0,100.0
2022-02-26 10:00:00,227.73308687739905,14.799999999999985,210.0,242.53308687739903,32.53308687739903,130.8064325335291
2022-02-26 11:00:00,142.77231216430664,9.999999999999984,225.0,152.7723121643066,0.0,100.0
2022-02-26 12:00:00,142.12480598025851,8.666666666666664,235.0,150.79147264692517,0.0,100.0
2022-02-26 13:00:00,140.18402777777774,8.133333333333336,230.0,148.31736111111107,0.0,100.0
2022-02-26 14:00:00,79.82465277777776,8.666666666666664,220.0,88.49131944444443,0.0,100.0
2022-02-26 15:00:00,85.10069444444444,10.533333333333312,210.0,95.63402777777776,0.0,100.0
2022-02-26 16:00:00,85.6145833333333,9.866666666666664,200.0,95.48124999999996,0.0,100.0
2022-02-26 17:00:00,57.13715277777775,9.066666666666649,190.0,66.2038194444444,0.0,100.0
2022-02-26 18:00:00,0.18576388888885,5.333333333333328,175.0,5.519097222222178,0.0,100.0
2022-02-26 19:00:00,-0.0,0.799999999999992,150.0,0.799999999999992,0.0,100.0
2022-02-26 20:00:00,-0.0,4.93333333333332,130.0,4.93333333333332,0.0,100.0
2022-02-26 21:00:00,-0.0,3.066666666666648,110.0,3.066666666666648,0.0,100.0
2022-02-26 22:00:00,-0.0,5.466666666666648,90.0,5.466666666666648,0.0,100.0
2022-02-26 23:00:00,-0.0,6.0,80.0,6.0,0.0,100.0
2022-02-27 00:00:00,-0.0,-0.0,75.0,-0.0,0.0,100.0
2022-02-27 01:00:00,-0.0,-0.0,70.0,-0.0,0.0,100.0
2022-02-27 02:00:00,-0.0,-0.0,65.0,-0.0,0.0,100.0
2022-02-27 03:00:00,-0.0,-0.0,60.0,-0.0,0.0,100.0
2022-02-27 04:00:00,-0.0,-0.0,60.0,-0.0,0.0,100.0
2022-02-27 05:00:00,-0.0,-0.0,65.0,-0.0,0.0,100.0
2022-02-27 06:00:00,0.003973488540699,-0.0,90.0,0.003973488540699,0.0,100.0
2022-02-27 07:00:00,0.3116868702797999,-0.0,125.0,0.3116868702797999,0.0,100.0
2022-02-27 08:00:00,22.6938833668828,1.599999999999984,160.0,24.293883366882785,0.0,100.0
2022-02-27 09:00:00,132.16858175065778,3.199999999999992,190.0,135.36858175065777,0.0,100.0
2022-02-27 10:00:00,310.0,-0.0,210.0,310.0,100.0,194.9
2022-02-27 11:00:00,325.0,-0.0,225.0,325.0,100.0,289.7051
2022-02-27 12:00:00,335.0,-0.0,235.0,335.0,100.0,384.4153949
2022-02-27 13:00:00,330.0,-0.0,230.0,330.0,100.0,479.0309795051001
2022-02-27 14:00:00,231.1102296221808,11.466666666666647,220.0,242.57689628884745,22.57689628884745,500.0
2022-02-27 15:00:00,201.1929824561404,9.333333333333313,210.0,210.52631578947373,0.5263157894737276,500.0
2022-02-27 16:00:00,116.5034722222222,11.199999999999983,200.0,127.70347222222219,0.0,430.8182986111111
2022-02-27 17:00:00,18.3923611111111,3.066666666666648,190.0,21.45902777777775,0.0,335.38748031250003
2022-02-27 18:00:00,0.1458333333333,-0.0,175.0,0.1458333333333,0.0,240.05209283218755
2022-02-27 19:00:00,-0.0,-0.0,150.0,-0.0,0.0,144.81204073935535
2022-02-27 20:00:00,-0.0,-0.0,130.0,-0.0,0.0,100.0
2022-02-27 21:00:00,-0.0,-0.0,110.0,-0.0,0.0,100.0
2022-02-27 22:00:00,-0.0,-0.0,90.0,-0.0,0.0,100.0
2022-02-27 23:00:00,-0.0,-0.0,80.0,-0.0,0.0,100.0
2022-02-28 00:00:00,-0.0,-0.0,75.0,-0.0,0.0,100.0
2022-02-28 01:00:00,-0.0,-0.0,70.0,-0.0,0.0,100.0
2022-02-28 02:00:00,-0.0,-0.0,65.0,-0.0,0.0,100.0
2022-02-28 03:00:00,-0.0,-0.0,60.0,-0.0,0.0,100.0
2022-02-28 04:00:00,-0.0,-0.0,60.0,-0.0,0.0,100.0
2022-02-28 05:00:00,-0.0,-0.0,65.0,-0.0,0.0,100.0
2022-02-28 06:00:00,0.0045165934392975,-0.0,90.0,0.0045165934392975,0.0,100.0
2022-02-28 07:00:00,0.11890335461225,-0.0,125.0,0.11890335461225,0.0,100.0
2022-02-28 08:00:00,12.90564235713745,-0.0,160.0,12.90564235713745,0.0,100.0
2022-02-28 09:00:00,46.301554375224605,-0.0,190.0,46.301554375224605,0.0,100.0
2022-02-28 10:00:00,81.04101207521225,1.999999999999992,210.0,83.04101207521224,0.0,100.0
2022-02-28 11:00:00,127.6265525817871,-0.0,225.0,127.6265525817871,0.0,100.0
2022-02-28 12:00:00,160.03394534852768,2.53333333333332,235.0,162.567278681861,0.0,100.0
2022-02-28 13:00:00,242.0364583333333,0.13333333333332,230.0,242.1697916666666,12.169791666666612,111.46130208333328
2022-02-28 14:00:00,138.50694444444446,-0.0,220.0,138.50694444444446,0.0,100.0
2022-02-28 15:00:00,100.96180555555554,5.599999999999992,210.0,106.56180555555554,0.0,100.0
2022-02-28 16:00:00,56.171875,9.199999999999992,200.0,65.37187499999999,0.0,100.0
2022-02-28 17:00:00,12.1909722222222,7.866666666666648,190.0,20.057638888888846,0.0,100.0
2022-02-28 18:00:00,0.29166666666665,7.866666666666648,175.0,8.158333333333298,0.0,100.0
2022-02-28 19:00:00,-0.0,12.266666666666664,150.0,12.266666666666664,0.0,100.0
2022-02-28 20:00:00,-0.0,13.866666666666648,130.0,13.866666666666648,0.0,100.0
2022-02-28 21:00:00,-0.0,14.799999999999985,110.0,14.799999999999985,0.0,100.0
2022-02-28 22:00:00,-0.0,15.599999999999977,90.0,15.599999999999977,0.0,100.0
2022-02-28 23:00:00,-0.0,19.39999999999999,80.0,19.39999999999999,0.0,100.0
2022-03-01 00:00:00,-0.0,16.5,75.0,16.5,0.0,100.0
2022-03-01 01:00:00,-0.0,18.0,70.0,18.0,0.0,100.0
2022-03-01 02:00:00,-0.0,9.73333333333332,65.0,9.73333333333332,0.0,100.0
2022-03-01 03:00:00,-0.0,8.53333333333332,60.0,8.53333333333332,0.0,100.0
2022-03-01 04:00:00,-0.0,14.799999999999985,60.0,14.799999999999985,0.0,100.0
2022-03-01 05:00:00,-0.0,15.599999999999977,65.0,15.599999999999977,0.0,100.0
2022-03-01 06:00:00,0.0185476367672284,10.533333333333312,90.0,10.551880970100541,0.0,100.0
2022-03-01 07:00:00,2.92041559289725,4.399999999999992,125.0,7.320415592897243,0.0,100.0
2022-03-01 08:00:00,35.0197260578473,11.733333333333311,160.0,46.753059391180614,0.0,100.0
2022-03-01 09:00:00,119.631892575158,13.866666666666648,190.0,133.49855924182467,0.0,100.0
2022-03-01 10:00:00,303.06666666666666,6.933333333333312,210.0,310.0,100.0,194.9
2022-03-01 11:00:00,315.1333333333333,9.866666666666664,225.0,325.0,100.0,289.7051
2022-03-01 12:00:00,204.5984698401557,8.53333333333332,235.0,213.13180317348903,0.0,268.6406079148146
2022-03-01 13:00:00,255.13541666666663,2.799999999999984,230.0,257.93541666666664,27.93541666666664,294.9106131402331
2022-03-01 14:00:00,264.70833333333337,21.6,220.0,286.3083333333334,66.3083333333334,357.6086191937596
2022-03-01 15:00:00,253.61979166666663,18.099999999999984,210.0,271.7197916666666,61.719791666666595,415.8848126578992
2022-03-01 16:00:00,43.96701388888885,28.333333333333343,200.0,72.3003472222222,0.0,320.46892784524124
2022-03-01 17:00:00,37.7413194444444,30.499999999999996,190.0,68.2413194444444,0.0,225.148458917396
2022-03-01 18:00:00,0.40277777777775,27.299999999999976,175.0,27.702777777777726,0.0,129.9233104584786
2022-03-01 19:00:00,-0.0,27.699999999999985,150.0,27.699999999999985,0.0,100.0
2022-03-01 20:00:00,-0.0,24.199999999999992,130.0,24.199999999999992,0.0,100.0
2022-03-01 21:00:00,-0.0,21.3,110.0,21.3,0.0,100.0
2022-03-01 22:00:00,-0.0,19.699999999999992,90.0,19.699999999999992,0.0,100.0
2022-03-01 23:00:00,-0.0,15.86666666666664,80.0,15.86666666666664,0.0,100.0
2022-03-02 00:00:00,-0.0,6.666666666666648,75.0,6.666666666666648,0.0,100.0
2022-03-02 01:00:00,-0.0,-0.0,70.0,-0.0,0.0,100.0
2022-03-02 02:00:00,-0.0,1.999999999999992,65.0,1.999999999999992,0.0,100.0
2022-03-02 03:00:00,-0.0,0.266666666666664,60.0,0.266666666666664,0.0,100.0
2022-03-02 04:00:00,-0.0,-0.0,60.0,-0.0,0.0,100.0
2022-03-02 05:00:00,-0.0,-0.0,65.0,-0.0,0.0,100.0
2022-03-02 06:00:00,0.0106018314707196,-0.0,90.0,0.0106018314707196,0.0,100.0
2022-03-02 07:00:00,0.69113877097455,-0.0,125.0,0.69113877097455,0.0,100.0
2022-03-02 08:00:00,48.3074769626061,-0.0,160.0,48.3074769626061,0.0,100.0
2022-03-02 09:00:00,168.5133596261342,2.4,190.0,170.9133596261342,0.0,100.0
2022-03-02 10:00:00,310.0,-0.0,210.0,310.0,100.0,194.9
2022-03-02 11:00:00,325.0,-0.0,225.0,325.0,100.0,289.7051
2022-03-02 12:00:00,335.0,-0.0,235.0,335.0,100.0,384.4153949
2022-03-02 13:00:00,330.0,-0.0,230.0,330.0,100.0,479.0309795051001
2022-03-02 14:00:00,242.57689628884745,-0.0,220.0,242.57689628884745,22.57689628884745,500.0
2022-03-02 15:00:00,210.52631578947367,-0.0,210.0,210.52631578947367,0.5263157894736707,500.0
2022-03-02 16:00:00,187.38194444444449,-0.0,200.0,187.38194444444449,0.0,487.5128472222223
2022-03-02 17:00:00,43.8819444444444,-0.0,190.0,43.8819444444444,0.0,392.02533437500006
2022-03-02 18:00:00,0.55729166666665,-0.0,175.0,0.55729166666665,0.0,296.6333090406251
2022-03-02 19:00:00,-0.0,-0.0,150.0,-0.0,0.0,201.33667573158448
2022-03-02 20:00:00,-0.0,-0.0,130.0,-0.0,0.0,106.13533905585288
2022-03-02 21:00:00,-0.0,-0.0,110.0,-0.0,0.0,100.0
2022-03-02 22:00:00,-0.0,-0.0,90.0,-0.0,0.0,100.0
2022-03-02 23:00:00,-0.0,-0.0,80.0,-0.0,0.0,100.0
2022-03-03 00:00:00,-0.0,-0.0,75.0,-0.0,0.0,100.0
2022-03-03 01:00:00,-0.0,-0.0,70.0,-0.0,0.0,100.0
2022-03-03 02:00:00,-0.0,-0.0,65.0,-0.0,0.0,100.0
2022-03-03 03:00:00,-0.0,-0.0,60.0,-0.0,0.0,100.0
2022-03-03 04:00:00,-0.0,-0.0,60.0,-0.0,0.0,100.0
