snapshot,PV Power,Wind Power,Grid Power,Load,Battery SOC,Battery Charger
2022-02-24 00:00:00,-0.0,29.666666666666664,-0.0,75.0,206.93333333333334,-45.333333333333336
2022-02-24 01:00:00,-0.0,15.333333333333313,-0.0,70.0,154.79306666666668,-54.666666666666686
2022-02-24 02:00:00,-0.0,19.81944444444444,-0.0,65.0,111.71674582222224,-45.18055555555556
2022-02-24 03:00:00,-0.0,17.472222222222214,30.311957697356718,60.0,100.0,-12.21582008042107
2022-02-24 04:00:00,-0.0,9.481481481481465,50.623781676413266,60.0,100.0,0.10526315789473087
2022-02-24 05:00:00,-0.0,16.861111111111104,48.244152046783626,65.0,100.0,0.10526315789473087
2022-02-24 06:00:00,-0.0,13.555555555555538,76.54970760233918,90.0,100.0,0.10526315789473087
2022-02-24 07:00:00,1.39828492369915,10.740740740740744,112.96623749345483,125.0,100.0,0.10526315789473087
2022-02-24 08:00:00,44.2325758685668,10.777777777777752,105.0949095115502,160.0,100.0,0.10526315789473087
2022-02-24 09:00:00,182.85671048694186,9.129629629629624,-0.0,190.0,101.78702311074292,1.9863401165714887
2022-02-24 10:00:00,280.2326838175456,15.777777777777768,-0.0,210.0,183.3951746031894,86.01046159532336
2022-02-24 11:00:00,325.0,-0.0,-0.0,225.0,278.21177942858617,100.0
2022-02-24 12:00:00,335.0,-0.0,-0.0,235.0,372.93356764915757,100.0
2022-02-24 13:00:00,330.0,-0.0,-0.0,230.0,467.5606340815084,100.0
2022-02-24 14:00:00,254.63887005534013,-0.0,-0.0,220.0,500.0,34.63887005534012
2022-02-24 15:00:00,187.72631578947366,22.8,-0.0,210.0,500.0,0.5263157894736842
2022-02-24 16:00:00,174.12631578947367,26.4,-0.0,200.0,500.0,0.5263157894736842
2022-02-24 17:00:00,61.2725694444444,30.499999999999993,-0.0,190.0,406.1839409722222,-98.2274305555556
2022-02-24 18:00:00,0.21354166666665,30.0,44.78645833333335,175.0,310.77775703125,-100.0
2022-02-24 19:00:00,-0.0,25.899999999999984,24.100000000000016,150.0,215.46697927421877,-100.0
2022-02-24 20:00:00,-0.0,20.599999999999994,9.400000000000006,130.0,120.25151229494455,-100.0
2022-02-24 21:00:00,-0.0,23.59999999999999,65.20919917615831,110.0,100.0,-21.19080082384169
2022-02-24 22:00:00,-0.0,25.599999999999984,64.50526315789475,90.0,100.0,0.10526315789473087
2022-02-24 23:00:00,-0.0,12.666666666666648,67.43859649122808,80.0,100.0,0.10526315789473087
